,Game_ID,Player_ID,Player_Plus/Minus
0,021fd159b55773fba8157e2090fe0fe2,a99f44bbff39e352191a870e17f04537,24
1,021fd159b55773fba8157e2090fe0fe2,89706b99ddd00dc05d37ef5cafc04276,15
2,021fd159b55773fba8157e2090fe0fe2,b2fada91a0c8a0f400623c425286ae2e,7
3,021fd159b55773fba8157e2090fe0fe2,cec898a1d355dbfbad8c760615fde1af,4
4,021fd159b55773fba8157e2090fe0fe2,881f83d2dee3f18c7d1751659406144e,2
5,021fd159b55773fba8157e2090fe0fe2,d6bc5eb6ed54c734628cb4d237f99031,1
6,021fd159b55773fba8157e2090fe0fe2,1362d9ad805e7cc4ea3a9467c91142d6,1
7,021fd159b55773fba8157e2090fe0fe2,2d9594e4d250679e7a3383ad5ccd2f44,-2
8,021fd159b55773fba8157e2090fe0fe2,2b313e2bcef0268bc8e9415132ba9997,-5
9,021fd159b55773fba8157e2090fe0fe2,314c71574689f752c17b83cd6a4d770e,-7
10,021fd159b55773fba8157e2090fe0fe2,c1fe6ed491d04e3cdf50755dff23b263,9
11,021fd159b55773fba8157e2090fe0fe2,60b5f9f68ccbbf7ba3fa13a2189e2775,2
12,021fd159b55773fba8157e2090fe0fe2,33963fe856a1523ff46438ba07d1d99f,1
13,021fd159b55773fba8157e2090fe0fe2,8bb18fb1d0cc10c985afa823ecec6d18,-1
14,021fd159b55773fba8157e2090fe0fe2,603daefb2fa321f3abab289805fdcc25,-7
15,021fd159b55773fba8157e2090fe0fe2,307beab25b1021a548b4a47550bc4b25,-9
16,021fd159b55773fba8157e2090fe0fe2,27ea17a8685c4919f157e83fe9cb2d9e,-10
17,021fd159b55773fba8157e2090fe0fe2,c00264c3114d23bac482e9de50fb7d28,-10
18,021fd159b55773fba8157e2090fe0fe2,57bbd7e30bc694aeee9ee40c583e6811,-15
19,03a31e84b194d6c8a2eab5d70ba67acf,f5f1164263044fc2ee91242daa221045,19
20,03a31e84b194d6c8a2eab5d70ba67acf,387d067091bd3a9264576ddb74759f5f,15
21,03a31e84b194d6c8a2eab5d70ba67acf,e6d3fc584789b9b914791ec969a8d5a4,14
22,03a31e84b194d6c8a2eab5d70ba67acf,5fe2b12999c5b4a17dba17cb76b0cfbc,11
23,03a31e84b194d6c8a2eab5d70ba67acf,e688b1a601a44fb2ac79c58bf6c89e8b,10
24,03a31e84b194d6c8a2eab5d70ba67acf,257b19b06545dcb0a4eb3a01d7952eed,9
25,03a31e84b194d6c8a2eab5d70ba67acf,17651fd844ca9177694e0fe8e13ade03,7
26,03a31e84b194d6c8a2eab5d70ba67acf,2b8bdfc64f41d1adefabcf7e0667a618,5
27,03a31e84b194d6c8a2eab5d70ba67acf,43a74f78a8e39c7fb0ad193fb24f52ba,5
28,03a31e84b194d6c8a2eab5d70ba67acf,d1af6080bd4b6a794ba3595dab2b1fb8,2
29,03a31e84b194d6c8a2eab5d70ba67acf,81e57235a0f7d2ad49e275ae41070094,2
30,03a31e84b194d6c8a2eab5d70ba67acf,1e76e7a4a5b6d17e67172710d86b6b51,2
31,03a31e84b194d6c8a2eab5d70ba67acf,84a4a3c70c57b7d570baca43b5423ba3,0
32,03a31e84b194d6c8a2eab5d70ba67acf,71cd93e320cd2da78733d23dae3274a0,-7
33,03a31e84b194d6c8a2eab5d70ba67acf,7438349cba4a3154e331f38cfbb2dd5e,-7
34,03a31e84b194d6c8a2eab5d70ba67acf,b248b1d9caa41a3562d67584c1a0b399,-9
35,03a31e84b194d6c8a2eab5d70ba67acf,952cb62f00fbb58407f3a7cd89c3a7bf,-11
36,03a31e84b194d6c8a2eab5d70ba67acf,e2d5a38e5f826708c89f2f728eade916,-12
37,03a31e84b194d6c8a2eab5d70ba67acf,6b08fc64c8d282c36e800d28eb278027,-15
38,03a31e84b194d6c8a2eab5d70ba67acf,8bea2707e7bf04c8a3d8188b87d92c0e,-20
39,03a31e84b194d6c8a2eab5d70ba67acf,1376b4800e5b2d50ce35a57827eadcfc,-20
